"ID","PARENTID","ORDER_NUMBER","OBJ_TYPE","CODE","NAME","MENU_NAME","STATUS","CREATEDATE","UPDATEDATE","CREATEBY","UPDATEBY","APPROVEDDATE","APPROVEDBY","ISSHOWMENU","URL","ICON_FONT","UI_SREF","CHILD_TYPE"
"1022","920","5","1","CTLNBV_YEAR_PLAN_APPROVED","Kế hoạch hằng năm được duyệt","Kế hoạch hằng năm được duyệt","1",,,,,,,"1","/#!/admin/ctlnbv-approved-year-plan",,"ctlnbv-approved-year-plan",
"860","840","7.6","1","TTTTN_BCTK","Báo cáo thống kê","Báo cáo thống kê","1",,,,,,,"1","/#!/admin/v-2-ttttn-report-management",,"v-2-ttttn-report-management",
"900","840","7.2","1","TTTTN_QLTD","Quản lý tuyển dụng","Quản lý tuyển dụng","1",,,,,,,"1","/#!/admin/v-2-ttttn-tinh-hinh-tuyen-dung",,"v-2-ttttn-tinh-hinh-tuyen-dung",
"1000","920","3","1","ctlnbv-mid-plan","Kế hoạch trung hạn","Kế hoạch trung hạn","1",,,,,,,"1","/#!/admin/ctlnbv-mid-plan",,"ctlnbv-mid-plan",
"1011","1009","2","0","330702","Kiểm tra báo cáo","Kiểm tra báo cáo","1",,,,,,,"1","/#!/admin/v2-nationnal-target/check-report","fa fa-sliders","check-report({objTypeName:'v2-nationnal-target'})",
"1044","1040","3","1","CTLNBV_REPORT_03","BC03 - KHV năm đề xuất","BC03 - KHV năm đề xuất","1",,,,,,,"1","/#!/admin/v2-ctlnbv-report-management/report-05",,"v-2-ctlnbv-report-03",
"1046","1040","2","1","CTLNBV_REPORT_02","BC02 - Tổng hợp chỉ tiêu, nhiệm vụ","BC02 - Tổng hợp chỉ tiêu, nhiệm vụ","1",,,,,,,"1","/#!/admin/v2-ctlnbv-report-management/report-02",,"v-2-ctlnbv-report-02",
"1060","1040","1","1","CTLNBV_REPORT_01","BC01 - Hiện trạng rừng theo năm theo khu vực quản lý","BC01 - Hiện trạng rừng theo năm theo khu vực quản lý","1",,,,,,,"1","/#!/admin/v-2-ctlnbv-report-management/report-01",,"v-2-ctlnbv-report-01",
"1083","1080","3","0","REPORT_DKT_03","Đơn vị tự kiểm duyệt","Đơn vị tự kiểm duyệt","1",,,,,,,"1","/#!/admin/v2-ctlnbv-report/report-management-dn","fa fa-sliders","doanh-nghiep-report-management({objTypeName:'v2-ctlnbv-report'})",
"1085","1080","5","0","REPORT_DKT_05","Phân quyền báo cáo cho người dùng","Phân quyền báo cáo cho người dùng","1",,,,,,,"1","/#!/admin/v2-ctlnbv-report/reportuser-permission","fa fa-sliders","reportuser-permission({objTypeName:'v2-ctlnbv-report'})",
"1100",,"6","0","9007","Dashboard Chương trình mục tiêu quốc gia","Chương trình mục tiêu quốc gia","1",,,,,,,"1","/#!/dashboard-chuong-trinh-mtqg/bieu-do-chuong-trinh-mtqg","fa fa-map","bieu-do-chuong-trinh-mtqg",
"1161","1160","1","1","BC_TONGHOP_PL01","Phụ lục 01","Phụ lục 01","1",,,,,,,"1","/#!/admin/v-2-ctmtqg-tong-hop-pl/01",,"v-2-ctmtqg-tong-hop-pl-01",
"1200","1160","6","1","BC_TONGHOP_PL06","Phụ lục 06","Phụ lục 06","1",,,,,,,"1","/#!/admin/v-2-ctmtqg-tong-hop-pl/06",,"v-2-ctmtqg-tong-hop-pl-06",
"840",,"7","1","TTTTN","TRI THỨC TRẺ TÌNH NGUYỆN","TRI THỨC TRẺ TÌNH NGUYỆN","1",,,,,,,"1","/#!/admin/v-2-ttttn-management","fa fa-area-chart","v-2-ttttn-da",
"880","840","7.3","1","TTTTN_TT","Thông tin TTTTN","Thông tin TTTTN","1",,,,,,,"1","/#!/admin/v-2-ttttn-thong-tin-ca-nhan",,"v-2-ttttn-thong-tin-ca-nhan",
"903","860","7.61","1","TTTTN_BC_01","Phụ lục 01: Kết quả tuyển chọn và thực hiện dự án","Phụ lục 01: Kết quả tuyển chọn và thực hiện dự án","1",,,,,,,"1","/#!/admin/v-2-ttttn-report-management/report-01",,"v-2-ttttn-report-01",
"960","920","2","1","1000","Quyết định đầu tư","Quyết định đầu tư","1",,,,,,,"1","/#!/admin/ctlnbv-quyet-dinh-dau-tu-management/ctlnbv-quyet-dinh-dau-tu",,"ctlnbv-quyet-dinh-dau-tu",
"1004","940","7.72","1","CTMTQG_BAOCAO_07B","Báo cáo 07B","Báo cáo 07B","1",,,,,,,"1","/#!/admin/v-2-ctmtqg-report-management/report-7b",,"v-2-ctmtqg-report-7b",
"1009","780","7","1","3307","DKT: Nộp, Kiểm duyệt báo cáo","Nộp, Kiểm duyệt báo cáo","1",,,,,,,"1","DKT: Nộp, Kiểm duyệt báo cáo",,,
"1014","1009","5","0","330705","Phân quyền báo cáo cho người dùng","Phân quyền báo cáo cho người dùng","1",,,,,,,"1","/#!/admin/v2-nationnal-target/reportuser-permission","fa fa-sliders","reportuser-permission({objTypeName:'v2-nationnal-target'})",
"1042","1040","6","1","CTLNBV_REPORT_06","BC06 - Hiện trạng rừng","BC06 - Hiện trạng rừng","1",,,,,,,"1","/#!/admin/v-2-ctlnbv-report-management/report-06",,"v-2-ctlnbv-report-06",
"1082","1080","2","0","REPORT_DKT_02","Kiểm tra báo cáo","Kiểm tra báo cáo","1",,,,,,,"1","/#!/admin/v2-ctlnbv-report/check-report","fa fa-sliders","check-report({objTypeName:'v2-ctlnbv-report'})",
"1084","1080","4","0","REPORT_DKT_04","Cấp trên trực tiếp kiểm duyệt","Cấp trên trực tiếp kiểm duyệt","1",,,,,,,"1","/#!/admin/v2-ctlnbv-report/report-management-ub","fa fa-sliders","report-management({objTypeName:'v2-ctlnbv-report'})",
"1140","780","6.1","1","330601","Kết quả thực hiện","Kết quả thực hiện","1",,,,,,,"1","/#!/admin/v-2-ctmtqg-ket-qua-thuc-hien",,"v-2-ctmtqg-ket-qua-thuc-hien",
